symbol;field
FDES11;'sector'
FDES11F;'sector'
FESA3F;'sector'
FESA4F;'sector'
FEXC11;'sector'
FGAA11;'sector'
FHER3F;'sector'
FIGS11;'website'
FIIB11;'website'
FIIP11B;'website'
FIND11;'sector'
FIQE3F;'sector'
FISC11;'website'
FIVN11;'website'
FIXA11;'sector'
FLCR11;'sector'
FLMA11;'website'
FLRP11;'sector'
FLRY3F;'sector'
FMOF11;'website'
FMSC34;'sector'
FMXB34;'sector'
FNAM11;'sector'
FNOR11;'website'
FPAB11;'website'
FPOR11;'sector'
FRAS3F;'sector'
FRIO3F;'sector'
FRTA3F;'sector'
FSPE11;'sector'
FSPE11F;'sector'
FSRF11;'sector'
FSRF11F;'sector'
FSTU11;'sector'
FSTU11F;'sector'
FVPQ11;'sector'
G1DS34;'sector'
G1FI34;'state'
G1LP34;'sector'
G1RM34;'state'
G1SK34;'sector'
G2DI33;'state'
GALG11;'sector'
GAME11;'sector'
GCFF11;'website'
GCRA11;'sector'
GCRI11;'website'
GENB11;'sector'
GEPA3F;'sector'
GEPA4F;'sector'
GETT11F;'sector'
GETT3F;'sector'
GETT4F;'sector'
GFSA3F;'sector'
GGBR3F;'sector'
GGBR4F;'sector'
GGPS3F;'sector'
GGRC11;'website'
GMAT3F;'sector'
GOAU3F;'sector'
GOAU4F;'sector'
GOLD11;'sector'
GOLL4F;'sector'
GOVE11;'sector'
GPAR3F;'sector'
GPRK34;'state'
GRAO3;'sector'
GRLV11;'sector'
GRND3F;'sector'
GSFI11;'website'
GSHP3F;'sector'
GTLG11;'website'
GTWR11;'website'
GUAR3F;'sector'
GURU11;'sector'
H1DB34;'sector'
H1SB34;'state'
H1TH34;'state'
H1ZN34;'state'
HAAA11;'sector'
HABT11;'website'
HAGA3F;'sector'
HAGA4F;'sector'
HAPV3F;'sector'
HASH11;'sector'
HBCR11;'sector'
HBOR3F;'sector'
HBRE3F;'sector'
HBRH11;'sector'
HBSA3F;'sector'
HBTS5F;'sector'
HCHG11;'sector'
HCRI11;'sector'
HCST11;'sector'
